"category","texts"
"Mexican","Came here on a Thursday for a very early dinner before the Zac Brown Band concert. I think they had just opened when we arrived, so we were seated right...Husband and I tried out Alma Cocina during our Honeymoon in Atlanta, and now I have extra bonus wife points! Mexican is his favorite, and the unique way the...Came by a while ago, and, honestly, I don't understand the hype of this place.
For such a highly rated restaurant, I expected something that would stand..."
"American (Traditional)","Okay so I'm a true hot wing fanatic and I am ALWAYS skeptical about trying new wings. I am so glad I was not disappointed. The wings were crispy and fresh....The Vortex Bar & Grill is an iconic restaurant in Little 5 Points. Seeing the skull entrance is a landmark of L5P and sets the tone for the whole...I've been a loving patron of The Vortex - L5P for over 10 years. Had many a birthday celebrated there. The wait can be long, but not unbearable. The food..."
"Mexican","Some of my friends and I were discussing tacos when we came to the question... ""If you could only have one more taco which would you choose?"" I sat quietly...It was love at first bite and I now I crave this place. This is thee most unsuspecting love that I have ever had. The location and building are unassuming;...I love going to Hankook Taqueria because the food is delish and so cheap. It's a whole in the wall and kind of dive but it's the best Korean taqueria!....Some of my friends and I were discussing tacos when we came to the question... ""If you could only have one more taco which would you choose?"" I sat quietly...It was love at first bite and I now I crave this place. This is thee most unsuspecting love that I have ever had. The location and building are unassuming;...I love going to Hankook Taqueria because the food is delish and so cheap. It's a whole in the wall and kind of dive but it's the best Korean taqueria!...."
"Korean","Some of my friends and I were discussing tacos when we came to the question... ""If you could only have one more taco which would you choose?"" I sat quietly...It was love at first bite and I now I crave this place. This is thee most unsuspecting love that I have ever had. The location and building are unassuming;...I love going to Hankook Taqueria because the food is delish and so cheap. It's a whole in the wall and kind of dive but it's the best Korean taqueria!....Some of my friends and I were discussing tacos when we came to the question... ""If you could only have one more taco which would you choose?"" I sat quietly...It was love at first bite and I now I crave this place. This is thee most unsuspecting love that I have ever had. The location and building are unassuming;...I love going to Hankook Taqueria because the food is delish and so cheap. It's a whole in the wall and kind of dive but it's the best Korean taqueria!...."
"Italian","As always an outstanding experience.

This place and its staff never fail to win us over.

Opted to sit at the bar instead of standard seating. The bar area...This is one of those places in the Atlanta area where people know the name. In other words, reputation is supposed to be good. After trying this place out,...OMGGGG yum!!! This might just be my favorite place for dessert now. That might not be the first thing you think of when you think of Ecco, but I promise you..."
"Vegan","Who would not want to have some True Food on Valentine's Day? 

True Food Kitchen = Tasty, Healthy, Yummy-Goodness

Yes... all of that. 

The service this...I'm so late and so mad at myself for missing out all this time! The ambiance is light and airy, the staff are super friendly and upbeat. The overall vibe in...Took my husband, parents and in-laws for my husbands birthday. Definitely was not my first time. I am absolutely obsessed with some of the dishes, and bring...Who would not want to have some True Food on Valentine's Day? 

True Food Kitchen = Tasty, Healthy, Yummy-Goodness

Yes... all of that. 

The service this...I'm so late and so mad at myself for missing out all this time! The ambiance is light and airy, the staff are super friendly and upbeat. The overall vibe in...Took my husband, parents and in-laws for my husbands birthday. Definitely was not my first time. I am absolutely obsessed with some of the dishes, and bring..."
"American (New)","Who would not want to have some True Food on Valentine's Day? 

True Food Kitchen = Tasty, Healthy, Yummy-Goodness

Yes... all of that. 

The service this...I'm so late and so mad at myself for missing out all this time! The ambiance is light and airy, the staff are super friendly and upbeat. The overall vibe in...Took my husband, parents and in-laws for my husbands birthday. Definitely was not my first time. I am absolutely obsessed with some of the dishes, and bring...Who would not want to have some True Food on Valentine's Day? 

True Food Kitchen = Tasty, Healthy, Yummy-Goodness

Yes... all of that. 

The service this...I'm so late and so mad at myself for missing out all this time! The ambiance is light and airy, the staff are super friendly and upbeat. The overall vibe in...Took my husband, parents and in-laws for my husbands birthday. Definitely was not my first time. I am absolutely obsessed with some of the dishes, and bring..."
"American (Traditional)","We had a great time last night.  The fish taco was good, I loved the side dish grilled macaroni and cheese. 
Flying Biscuit is one of our favorites. There...I have liked and frequented Flying Biscuit for several years in both NC and GA. My recent experience was unfortunately poor.

I walked in to place an order...This quality of this place has decreased significantly over the years. I came with my sister recently and we were seated after waiting for 10 min just for..."
"Vegan","Impeccable!!!!!!!
The food was absolutely delicious and delightful. Each portion was well balanced, tasty, and not overly seasoned. I was impressed with the...Looking for a vegan restaurant for a weekday dinner or Sunday brunch buffet this is a good choice. 

Last night, I had ordered the Coconut Soup and the...Finally checked out Herban Fix for lunch! I'm impressed to find a vegan restaurant with such an extensive menu. I'd largely call the cuisine Asian inspired..."
"Mexican","Great fellowship, great times! Ebony the AMAZING waitress took great care of us!!! Bartaco gave me everything I needed after a morning of excitement!! I...The atmosphere is great, I have been here enough times to be a fan of the place.

Good Stuff: All the tacos tasted great (duck is my favorite), except for...I originally came here for a good margarita, but ended up getting a taco as well. Upon first sip of the marg, I must admit it was a bit tangier than..."
"Indian","Legit the best food and Bangladeshi food I've had hands down!! My husband is Pakistani and even he puts this on his top place to eat in Atlanta!

There...After failed date/take out night earlier this week, I made the request that hubster and I go on another date after a long hard week. 

We chose Purnima base...Ordered via GrubHub but I believe they personally delivered it as it arrived 20+ minutes early! Everything was steaming hot and portions were generous...."
"American (Traditional)","Place was perfect and laid back food and service outstanding. Nothing more to say 

Came for lunch and ordered a sangria and bistro steak frites medium well...Me and my brunch bestie come here several times a year, as it has made it into our ATL Brunch rotation. This time, we did not have reservations and we came...This is a really cool little place that offers a lot of drinkable options :)

There are wine specials off the main menu and you can also pop a bottle of..."
"American (New)","Came by with a friend one weekday evening. One of the Yelp tips suggested to turn at CVS and you'll see the free parking behind the buildings. 

We were...I've ordered Gusto so many times that I've lost count. The food is always fresh and tastes great. My favourite is the tahini cucumber feta wrap with chicken...I am so upset at myself for having passed this place up so many times.

Let's disregard everything else and stick to the food.

It's so good my mouth is...Came by with a friend one weekday evening. One of the Yelp tips suggested to turn at CVS and you'll see the free parking behind the buildings. 

We were...I've ordered Gusto so many times that I've lost count. The food is always fresh and tastes great. My favourite is the tahini cucumber feta wrap with chicken...I am so upset at myself for having passed this place up so many times.

Let's disregard everything else and stick to the food.

It's so good my mouth is..."
"Mediterranean","Came by with a friend one weekday evening. One of the Yelp tips suggested to turn at CVS and you'll see the free parking behind the buildings. 

We were...I've ordered Gusto so many times that I've lost count. The food is always fresh and tastes great. My favourite is the tahini cucumber feta wrap with chicken...I am so upset at myself for having passed this place up so many times.

Let's disregard everything else and stick to the food.

It's so good my mouth is...Came by with a friend one weekday evening. One of the Yelp tips suggested to turn at CVS and you'll see the free parking behind the buildings. 

We were...I've ordered Gusto so many times that I've lost count. The food is always fresh and tastes great. My favourite is the tahini cucumber feta wrap with chicken...I am so upset at myself for having passed this place up so many times.

Let's disregard everything else and stick to the food.

It's so good my mouth is..."
"American (New)","If I could give 6 stars I would. Perfection is the best word. The ambiance is casual but smooth and romantic. Not loud but not quiet either. Great place for...The entire experience was exceptional. I love the atmosphere of this restaurant; it doesn't feel stuffy. It's definitely laid back. The attire of people...Bacchanalia. I have heard about this place for a long, long time, honestly since day one of moving to Atlanta. And it wasn't until my birthday weekend, that..."
"Vietnamese","Best place to have vietnamese food.

Prices are very decent and food arrives quick/fresh.

Highly recommend this place and you will not regret!Go-to place for banh mis! 

This is a small, casual restaurant that specializes in banh mis but also has a diverse menu that includes soups, rice dishes,...This place gets busy!  Even on off peak times like 2-3pm on a Saturday; I was surprised to see a bunch of people inside - dine in and takeout.

To..."
"American (Traditional)","I have been going to The General Muir (""The Muir"") for years and I am always impressed at the consistency in which this restaurant executes food. I recently...Reubens are among my favorite sandwiches so when friends recommend we come here I already knew what I was ordering. The Reuben didn't disappoint, with the...Man, the queue for brunch is no joke. Expect to wait 40-45 minutes for a table, so make sure your phone is fully charged, and you're in good company! Oh,..."
"American (Traditional)","Juicy chicken, fried crispy, hot to keep your mouth going without being overwhelming, light cole slaw, creamy Hattie's sauce. This IS the best chicken...Awesome fried chicken! 

Hattie B's has brought Nashville's famous hot chicken to Atlanta and I could not be more thankful. 

For those fearful of spicy...I skipped going to the one in Nashville due to the long line so I was naturally very excited when a Hattie Bs opened in Little 5 Points.  The lines,..."
"Mediterranean","Man I freaking love this place! I've been a couple times before and I will definitely keep coming back. The food, portions and service are all...I honestly love this restaurant! We eat here at least once every two weeks whether we order out or sit down inside or outside ... I never get sick of the...I've been a big fan of Mediterranean food forever and a cafe Agora is a good solid staple of my favorites.  
I ordered delivery with UberEats.  Packaging..."
"Vegan","This is restaurant is such a gem and I wish we had one in my hometown. I had the impossible burger and it was amazing! I'm not someone who craves burgers as...The food here was really enjoyable. We came for lunch and I was a bit skeptical but my girl who brought me here said the food was really good. 

We had the...came here for lunch. 

service was sloooooow, though there were not that many diners.

had the quinoa and kale bowl. very tasty-- dressing was AMAZING. my..."
"Thai","They were good no joke.  Just a little expensive but preeeetty good and good service too.  Nice atmosphere, nice wait staff.  

I had the 5hr short rib,...Shame on the restaurant manager and shame on the owner of this restaurant....small entree portions and customers who pretend that the lack of food on their...Great food and decent service.

I made a reservation at 26 Thai Kitchen for group of 8 on a weekday, and they had no issue accommodating us. The service was..."
"Vietnamese","I've been here when I'm sick, hungry, hungover, exhausted ... it's a cure all - there's nothing that a massive hot bowl of (their) pho can't fix! 
Service...One of my favorite spots in the area.  The staff is super friendly and very fast.  Food takes no longer than 10 minutes to come out and is absolutely...It was a cold Saturday afternoon when we went to Pho Dai Lou 2. It was busy but we were able to be seated right away. We ordered Pho and some spring rolls...."
"Italian","Well, this made my list of ""Top 3 Favorite Atlanta Restaurants.""

We started with the ""PSM Smoked prosciutto, buttermilk piadina, my ricotta, pineapple...This meal definitely lived up to all of the hype!! One of the best meals I've had in a long time. 

We had to make a reservation about a week in advance. We...I now know why people talk about this place. It's GOOD. 

We came here with another couple on a Friday night. We had a reservation for 9 PM, got seated...Well, this made my list of ""Top 3 Favorite Atlanta Restaurants.""

We started with the ""PSM Smoked prosciutto, buttermilk piadina, my ricotta, pineapple...This meal definitely lived up to all of the hype!! One of the best meals I've had in a long time. 

We had to make a reservation about a week in advance. We...I now know why people talk about this place. It's GOOD. 

We came here with another couple on a Friday night. We had a reservation for 9 PM, got seated..."
"American (Traditional)","Well, this made my list of ""Top 3 Favorite Atlanta Restaurants.""

We started with the ""PSM Smoked prosciutto, buttermilk piadina, my ricotta, pineapple...This meal definitely lived up to all of the hype!! One of the best meals I've had in a long time. 

We had to make a reservation about a week in advance. We...I now know why people talk about this place. It's GOOD. 

We came here with another couple on a Friday night. We had a reservation for 9 PM, got seated...Well, this made my list of ""Top 3 Favorite Atlanta Restaurants.""

We started with the ""PSM Smoked prosciutto, buttermilk piadina, my ricotta, pineapple...This meal definitely lived up to all of the hype!! One of the best meals I've had in a long time. 

We had to make a reservation about a week in advance. We...I now know why people talk about this place. It's GOOD. 

We came here with another couple on a Friday night. We had a reservation for 9 PM, got seated..."
"American (New)","I ordered the Maine mussels and andouille fornappatiser. The mussels were perfectly cooked, and sause was to die for, the grilled baguette was perfect for...This place gets 4 stars because of the service. The food was great and fast. Aside from the fact that we left smelling like the grill, the ambiance was...First off noise level is off the charts, literally. Hubby has a decibel meter app on his phone and it measured the noise as being equivalent to the noise of..."
"American (New)","Just discovered King + Duke this weekend. What can I say? It absolutely lives up to all the hype my friends have supplied, and turned out to be the perfect...Very nice atmosphere at King + Duke. Parking can get a little confusing though. There is valet available and also a parking deck. It's not immediately...Without a doubt, a perfect meal!  I've traveled on business to 42 countries and 47 states.  Been to ATL at least 10 times.  Best meal in ATL and one of my...Just discovered King + Duke this weekend. What can I say? It absolutely lives up to all the hype my friends have supplied, and turned out to be the perfect...Very nice atmosphere at King + Duke. Parking can get a little confusing though. There is valet available and also a parking deck. It's not immediately...Without a doubt, a perfect meal!  I've traveled on business to 42 countries and 47 states.  Been to ATL at least 10 times.  Best meal in ATL and one of my..."
"American (Traditional)","Just discovered King + Duke this weekend. What can I say? It absolutely lives up to all the hype my friends have supplied, and turned out to be the perfect...Very nice atmosphere at King + Duke. Parking can get a little confusing though. There is valet available and also a parking deck. It's not immediately...Without a doubt, a perfect meal!  I've traveled on business to 42 countries and 47 states.  Been to ATL at least 10 times.  Best meal in ATL and one of my...Just discovered King + Duke this weekend. What can I say? It absolutely lives up to all the hype my friends have supplied, and turned out to be the perfect...Very nice atmosphere at King + Duke. Parking can get a little confusing though. There is valet available and also a parking deck. It's not immediately...Without a doubt, a perfect meal!  I've traveled on business to 42 countries and 47 states.  Been to ATL at least 10 times.  Best meal in ATL and one of my..."
"American (New)","We discovered this gem of a restaurant/bar when there was a long wait at another restaurant in the area. We were hungry and didn't want to wait,  so one of...TLDR: Arguably the best brewpub in all of Atlanta and one of the best to make beer in Georgia.

If you can appreciate great beer and you're looking for a...So much love for a brewery that doesn't discriminate against those of us who can't drink beer's ability to have a good time.

Phenomenal wine and cocktail..."
"Vegan","loved this place!

funky decor. reminded me of San Francisco :)

came for brunch. waitress was up on what was vegan. TONS of tasty options.

really good...Ambience: B- Extreamly cute troical vibe! A little cramped but cozy.

Cleanliness: A- saw no major issues with cleanliness.

Food: A- Delish! The food is...It's the second breakfast in America.

Great service and great service even while famous people were present at 4:00 am.

Fantastic. 

Go.loved this place!

funky decor. reminded me of San Francisco :)

came for brunch. waitress was up on what was vegan. TONS of tasty options.

really good...Ambience: B- Extreamly cute troical vibe! A little cramped but cozy.

Cleanliness: A- saw no major issues with cleanliness.

Food: A- Delish! The food is...It's the second breakfast in America.

Great service and great service even while famous people were present at 4:00 am.

Fantastic. 

Go."
"American (Traditional)","loved this place!

funky decor. reminded me of San Francisco :)

came for brunch. waitress was up on what was vegan. TONS of tasty options.

really good...Ambience: B- Extreamly cute troical vibe! A little cramped but cozy.

Cleanliness: A- saw no major issues with cleanliness.

Food: A- Delish! The food is...It's the second breakfast in America.

Great service and great service even while famous people were present at 4:00 am.

Fantastic. 

Go.loved this place!

funky decor. reminded me of San Francisco :)

came for brunch. waitress was up on what was vegan. TONS of tasty options.

really good...Ambience: B- Extreamly cute troical vibe! A little cramped but cozy.

Cleanliness: A- saw no major issues with cleanliness.

Food: A- Delish! The food is...It's the second breakfast in America.

Great service and great service even while famous people were present at 4:00 am.

Fantastic. 

Go."
"American (Traditional)","UHHH-MAYZING! The place has a real laid back vibe upon entering. Came for a table for 3 on a Monday afternoon. The menu had soo much to offer and all sounds...Love this place for brunch. Definitely one of my top choices if I get up early on a weekend. You can park in the lot next to it, but it's usually valet If...This place is such a gem!

The staff was so nice and very accommodating!

As for the food, I would say I had a nice meal! I had the Mac & cheese with a..."
"Italian","Excellent food, tremendous service. 

We started with a charcuterie board which they don't make you guess at but bring a combination they know works...I came here with a group of girlfriends during Super Bowl week and boy do I wish they had a restaurant like this where I live in Los Angeles. 

I'm still...First visit, last visit, work lunch, group celebration, intimate date - all have been perfect. 

The atmosphere is great for clients during the day, a nice..."
"American (Traditional)","My boyfriend and i came here the day before Valentine's Day for our anniversary and it couldn't have been a more enjoyable experience. 

First, they...Great brunch! Excited to try this spot for dinner ASAP. 

I loved this because it was set up buffet style .. but in the kitchen! So awesome. We were told by...I like this spot. From the chill surroundings, to the well stocked bar, to the service they have it down. I've been here on multiple occasions and always..."
"Chinese","Came here on the recommendation of the employee at Sugar Shack. She said Buford hwy is a lil china type area w authentic food.
It was! The parking lot is...We love Little Bangkok, we visit it pretty often and introduce this place to our neighbors and friends.  We live approximately 19 miles away and the trip is...OMG ! This is the beat Thai food in the area. 
I usually get the crispy spicy shrimp, Pad  kee mao or red curry chicken and all of them taste delicious....Came here on the recommendation of the employee at Sugar Shack. She said Buford hwy is a lil china type area w authentic food.
It was! The parking lot is...We love Little Bangkok, we visit it pretty often and introduce this place to our neighbors and friends.  We live approximately 19 miles away and the trip is...OMG ! This is the beat Thai food in the area. 
I usually get the crispy spicy shrimp, Pad  kee mao or red curry chicken and all of them taste delicious...."
"Thai","Came here on the recommendation of the employee at Sugar Shack. She said Buford hwy is a lil china type area w authentic food.
It was! The parking lot is...We love Little Bangkok, we visit it pretty often and introduce this place to our neighbors and friends.  We live approximately 19 miles away and the trip is...OMG ! This is the beat Thai food in the area. 
I usually get the crispy spicy shrimp, Pad  kee mao or red curry chicken and all of them taste delicious....Came here on the recommendation of the employee at Sugar Shack. She said Buford hwy is a lil china type area w authentic food.
It was! The parking lot is...We love Little Bangkok, we visit it pretty often and introduce this place to our neighbors and friends.  We live approximately 19 miles away and the trip is...OMG ! This is the beat Thai food in the area. 
I usually get the crispy spicy shrimp, Pad  kee mao or red curry chicken and all of them taste delicious...."
"Mexican","Was in town for work and we had heard about Nuevo Laredo.  Once they said Mexican food, I was in.  This is an really eclectic place with really good food....Went here last weekend for the first time with some friends for a birthday!  The wait was an hour, it was Saturday night- the only day they don't take...Ok....they redeemed themselves...lol

Popped in solo on a Saturday night at 8:30 and there was an hour wait. But because I was alone I was seated pretty..."
"Vietnamese","Great place to introduce someone to Vietnamese food outside of just pho. 

Atmosphere: Low key date worthy night in my opinion. I wouldn't call it fancy but...The food here is a bit more ""upscale"" than your garden variety Vietnamese restaurant, and it's delicious.

We've taken many a friend here, and everyone has...When I started my new job my coworkers took me out for a welcome lunch here, and it is now one of the first places I suggest when friends come to visit. The..."
"Vegan","Yasssss, Upbeet. So much yes. You were worth the wait, babe. 

I tried to visit a couple weeks ago but the parking situation on a week day lunch hour had me...Pesto manifesto (he** to the no)
Cesar salad 3 stars 
Curry (if you like curry) amazing without sweet potatoes! Ask for the girl with the eyelashes. she's...I love Upbeet! (&their Vegan options)
 The service is usually good; Erica is exceptional though. If she always made my salad this rating would be five stars..."
"Korean","Got the recommendation for this restaurant from another yelper decided to try it since I'm very high on Buford highway corridor restaurants and have a lot...I got the tofu bibibam with ground beef and vegetable. Great texture and authentic stone bowl, came sizzling hot. The dish is mediocre itself but the side...One of my favorite Korean restaurants in town. I always get the combo: mushroom soup and beef ribs. The ribs are sooo tender and the soup is always packed..."
"Italian","We went here for an anniversary dinner and had a lovely meal on the patio. It was a Saturday night and it was quite busy but they were able to seat our...We've started to have a real appreciation for the 5th group restaurant company that includes the South City Kitchen restaurants. We've been fans of SCK for...The food was mediocre at best, expensive entrees with many not being entirely complete (i.e. protein, starch, and/or green). We ordered the following:

Veal..."
"American (New)","Delicious burger!! The burger is made with Creekstone beef so it's halal. Definitely get it with the ""Westside"" toppings & the garlic herb fries!! So good!...Bocado Management,

I had a reservation with my girlfriend on Saturday1/26/19 at 9PM. She and I arrived about 10 min prior to our reservation.  Once we had...What service? What food? We never got it. Some say they're waiting until this day. 

On a serious note, we entered the restaurant and were seated promptly...."
"American (New)","So I have been going back and forth on STK in my head and I've settled in on a 4/5.  

The steak 14 or 16 oz Delmonico, Medium Rare.  Wasn't a perfect...I have been excited to try STK for years, and finally had the chance. The best part of my evening, aside for my dinner companion, was the Dj. He was...Made reservations for my birthday at STK this past weekend...... THE ABSOLUTE WORST DECISION I COULD HAVE EVER MADE. It's  my birthday, therefore we were..."
"American (Traditional)","Spicy chicken sammich... with sweet tree fries... order that and thank me later. 

No picture because I ate it too quick but man it's so good and so worth...I stopped in here for lunch today. I ordered
& paid (apple Pay) through the RITUAL app. (It's a free app) I ordered the lunch combo: farm burger/sweet...Fresh burgers made to order. The staff is super friendly and the sweet potato fries are awesome ! 

Pretty decent beer selection with at least a selection..."
"American (Traditional)","I surprise visited my sister in Atlanta and her first instinct was to take me to Flying Biscuit Cafe, that's how much she loves it. I was craving Southern...Absolutely delicious food and excellent service.

Came here with my sisters and we all left satisfied and full of Southern comfort food. 

I got the...Loved this place. Service was on point, food came out quick. 

I got the country gravy Benedict and our table shared the season special - pumpkin pancakes!..."
"Chinese","Amazing!Best Food in Atlanta!!!Especially the Wonton Soup and Lu Rou Fan and Salt pepper chicken nuggets!!!
It's a surprise to me to find this restaurant in...Worth your buck: beef noodle soup (8/10). The beef is tender and the flavorful broth isn't salty unlike the majority of Ah-Ma's other dishes. Fair warning...Cute little place in the Midtown Trader Joe's parking lot. I had the Lu Rou Fan and the beef noodle soup. The Lu Rou Fan was ok, it was a little bland and..."
"American (New)","Last night at Seasons 52 as busy as it was, and business seems to be booming there, the manager Jermaine Oliver took the time out to wish my guest a lovely...Nothing spectacular, even the bartender admitted it was moreso for couples.

I would say 3 for 5 beers!!!I do not go to this S52 location often, but it is more convenient for me to get to. In the past, I've sat in the dining room, but on this visit I sat at the..."
"French","This little gem it's located in Buckhead across the street a little bit from Lenox Mall. I've been wanting to try Bistro Niko for a few years now, but...I've been going to this restaurant for 8 years. The last couple of times that I've been were not great. 
Sunday brunch and lunch is pretty good. Bloody...First off, the service at this place is top notch. The servers all work together. Our waitress was very attentive and took care of all our needs, but there..."
"Italian","Exquisito
Benjamin Keepers + The Pasta Da Pulcinella Family has a new sibling for life. The ambience - the service - the cuisine - the decor - Exemplary....Hubby made a reservation for my birthday dinner on January 7 and it was a great experience. The atmosphere is very loud but when you are at your table, it's...Absolutely amazing experience overall! 
The food was great, the service was great, and Ben, our waiter, was very sweet and friendly. He didn't make me feel..."
"Italian","A go-to Italian restaurant for my wife and me. The food is great (my particularly favorite is the Michelangelo tortelli), the staff is friendly and...I have heard so many good things that I had to check it out. 

I would just like to start by saying that the service was great! The restaurant is intimate...______________________________________________________

  

In the last three weeks or so, the kitchen has undergone some changes. The chef has left and the..."
"Vietnamese","BEST banh mi in town! I visit at least once a month to bring sandwiches back to my parents in Greenville SC. I love getting the banh mi dac biet and thit...Hubster and I stopped by here after seeing it a couple of times while visiting bbq corner. We came after the Chinese New Year festival. 

Quoc Huong Banh...This is the place to go if you are looking for a great banh mi! Their bread is the best. Crunchy on the outside, soft on the inside. The BBQ pork is my..."
"Vegan","Service 
Fries 
Chili 

Today was hopefully an off day. I'm a loyal follower traveling from Fayetteville to enjoy dining here today was a huuuuuge...The spot is very small and a little warm inside but we were able to snag a table to eat at. I ordered the shrimp po boy and my guest ordered the bacon bbq...I was in town for a few days celebrating my friends birthday and she told me the shrimp po boys here were something I had to try.  We came about 30 minutes..."
"American (New)","I have always wanted to visit the Lawrence because I heard great things about their brunch and unlimited Mimosa. So around two weeks ago, I finally had a...Love this place! I live in Midtown, so I'm a bit biased because I think of this place as my neighborhood spot, but it's much more than that. The menu, while...Good food, hip atmosphere, great service! Went to dinner at The Lawrence last night with some friends and was very happy with our experience. 

Recommend..."
"American (Traditional)","While the wait was quite long the evening we were there, the service was quite quick once we were seated.

Food was delicious, though my dining companion....This is the original Ted's Montana. In fact you might catch TT himself here - apparently the top floors of the building are Mr Turner's penthouse and he...CNN's founder Ted Turner's very beautiful restaurant is def one of my top favs in ATL!

Took my uncle and aunt there on a weekday lunch, was able to get..."
"Mexican","Ok so this place is in an big industrial Park with lots of parking which is great! They got some very nice seating in and out. Very cool decorations with a...So I've been to bone garden multiple times. Sometimes just to sit and eat, sometimes just to drink, and others just for takeout.

So for the food, it's...Trendy little place full of hipsters.  The small dining room was packed on a chilly Thursday evening.  I get it... the food & drinks were great.  Started..."
"Mexican","A. MUST. EAT.  Bartaco is an Atlanta gem that we tried for the first time last night. The atmosphere is great, decor is attractive and new, bathrooms are...Love the food! The menu has a lot of different options & has something for everyone. The ahi tuna & guacamole is what I get every time. Their mojitos are...We called ahead and put our name down. When we got there they said it would still be a 30+ minute wait, which we were not pleased about. But once we sat..."
"Korean","Korean food in downtown Atlanta! 
This place is located right across from the park in a downtown cool neighborhood with lots of art and cool things to check...Here we go! I'll be honest, the food is good but they left a bad taste in my mouth today. I ordered the Crispy Chicken curry dish. My sides were kimchi and...Solid choice for Korean tacos and bi bim bap; I opted for the latter on my visit, but will probably do otherwise next time, since the three-taco special..."
"American (New)","This past Saturday brought us to Wisteria.   I would liken this place to an old friend's home - you go there, it is welcoming, warm, smells awesome,...Wow! 

As someone who's really into vegetables, I commend Wisteria for an amazing vegetarian plate. Wines are good. Ambiance is nice and cozy. It's...Being from the Midwest, we targeted Southern cuisine on our first night in town while visiting the ATL over the holidays. In the past, we've experienced..."
"Italian","I absolutely love the pizza at this place! Easily some of the best I've had in the city (and I'm from New England so I've had some good pizza).

Recently I...Massively overpriced and overrated. You order cafeteria style, pay full premium restaurant prices, and then scrounge for a table. Wine selection is anemic....Another bad experience here... or shall
I say ""dining to go while black"". No I wasn't picking up for Uber Eats and  Yes, I had a dining out passport book,..."
"American (New)","There was nothing better than the night I just had at Saltyard with my friends. It was our first visit, but certainly won't be our last. Our server, Fatine,...So many good things. So hard to not order the entire menu!
Chicken brined 24 hours?
Yes!
Sliders?
Yes!We were excited to try this, as the concept seemed cool. Our waitress was very nice, but the food and cocktails were, unfortunately, terrible. Our..."
